,City,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temperature (F),Wind Speed (mph)
307,kismayo,84,SO,1588375266,84,-0.36,42.55,81.3,9.48
308,olinda,20,BR,1588375266,74,-8.01,-34.86,82.4,5.82
309,ayan,100,RU,1588375266,92,56.45,138.17,32.02,8.39
310,bilibino,0,RU,1588375267,88,68.05,166.44,25.95,2.73
311,angoche,13,MZ,1588375267,83,-16.23,39.91,76.17,7.74
312,krasnozerskoye,51,RU,1588375267,74,53.98,79.24,44.02,8.93
313,teguldet,97,RU,1588375267,82,57.31,88.17,48.38,9.6
314,belin,100,RO,1588375267,88,45.93,25.57,48.0,1.99
315,artyom,3,AZ,1588375267,87,40.47,50.33,53.6,6.93
316,sao geraldo do araguaia,91,BR,1588375267,88,-6.4,-48.55,77.02,0.31
317,ancud,90,CL,1588375268,87,-41.87,-73.82,57.99,11.41
318,provideniya,0,RU,1588375268,81,64.38,-173.3,32.32,7.78
319,privolzhye,51,RU,1588375268,71,52.86,48.6,51.44,8.21
320,heihe,45,CN,1588375268,45,50.24,127.49,46.4,22.37
321,mezen,100,RU,1588375268,98,65.85,44.24,25.34,6.44
322,fort nelson,75,CA,1588375268,30,58.81,-122.7,59.0,4.7
323,labateca,40,CO,1588375269,52,7.3,-72.49,91.4,10.29
324,saldanha,13,ZA,1588375269,93,-33.01,17.94,57.2,8.05
325,tigil,0,RU,1588375269,70,57.8,158.67,39.2,8.37
326,tiksi,100,RU,1588375269,95,71.69,128.87,18.46,8.48
327,yugo-kamskiy,40,RU,1588375269,74,57.71,55.59,35.6,8.95
328,qaqortoq,43,GL,1588375270,56,60.72,-46.03,41.0,9.17
329,thompson,90,CA,1588375270,86,55.74,-97.86,35.6,17.22
330,hovd,0,MN,1588375270,36,48.01,91.64,45.18,1.48
331,klaksvik,81,FO,1588375270,78,62.23,-6.59,41.0,9.17
332,shimoda,75,JP,1588375270,82,34.67,138.95,69.01,17.22
333,havre-saint-pierre,90,CA,1588375270,93,50.23,-63.6,41.0,3.36
334,camopi,100,GF,1588375270,94,3.17,-52.32,75.31,3.58
335,paso de los toros,2,UY,1588375270,77,-32.82,-56.52,58.23,8.43
336,noumea,0,NC,1588375016,61,-22.28,166.46,82.4,8.05
337,sao gabriel da cachoeira,72,BR,1588375271,93,-0.13,-67.09,78.03,1.74
338,north bend,90,US,1588375271,77,43.41,-124.22,64.99,10.29
339,severomorsk,19,RU,1588375271,79,69.07,33.42,19.4,2.24
340,kulpahar,0,IN,1588375271,24,25.32,79.65,84.07,4.07
341,east haven,75,US,1588375272,82,41.28,-72.87,61.0,3.36
342,genhe,93,CN,1588375272,52,50.78,121.52,36.55,10.98
343,port blair,100,IN,1588375272,78,11.67,92.75,81.34,6.02
344,lavrentiya,1,RU,1588375272,93,65.58,-171.0,27.5,7.16
345,ternate,100,ID,1588375272,75,0.8,127.4,82.63,5.55
346,dunedin,64,NZ,1588375272,66,-45.87,170.5,55.0,1.99
347,ranong,20,TH,1588375272,100,9.97,98.63,75.2,2.24
348,ukiah,1,US,1588375272,31,39.15,-123.21,75.2,10.29
349,kostomuksha,49,RU,1588375273,94,64.57,30.58,27.66,4.14
350,orcopampa,93,PE,1588375273,21,-15.27,-72.34,50.34,6.8
351,camacha,40,PT,1588375273,82,33.08,-16.33,66.2,4.7
352,labuhan,34,ID,1588375273,86,-6.88,112.21,77.18,8.48
353,mikuni,0,JP,1588375273,50,36.22,136.15,75.2,4.7
354,green river,20,US,1588375273,58,41.53,-109.47,53.6,18.34
355,isla vista,1,US,1588375242,53,34.41,-119.86,82.0,9.17
356,seoul,90,KR,1588375266,82,37.57,126.98,68.0,5.64
357,jega,33,NG,1588375274,32,12.22,4.38,94.6,11.23
358,kahului,40,US,1588375125,61,20.89,-156.47,82.4,26.4
359,dawlatabad,65,AF,1588375274,63,36.41,64.91,68.04,2.68
360,elk city,1,US,1588375274,23,35.41,-99.4,93.2,14.99
361,silifke,20,TR,1588375274,74,36.38,33.93,62.56,8.46
362,qasigiannguit,99,GL,1588375274,92,68.82,-51.19,30.2,11.41
363,nouadhibou,0,MR,1588375274,72,20.93,-17.03,68.0,17.22
364,haines junction,86,CA,1588375274,50,60.75,-137.51,42.04,5.19
365,norman wells,20,CA,1588375275,55,65.28,-126.83,39.2,8.05
366,shenjiamen,100,CN,1588375275,80,29.96,122.3,65.19,14.65
367,alofi,95,NU,1588375275,94,-19.06,-169.92,75.2,19.46
368,parvatsar,0,IN,1588375275,19,26.88,74.77,85.73,19.71
369,san quintin,2,MX,1588375275,69,30.48,-115.95,68.76,11.54
370,sorland,61,NO,1588375275,73,67.67,12.69,40.37,15.95
371,rancho palos verdes,5,US,1588375275,49,33.74,-118.39,73.99,13.87
372,ullapool,74,GB,1588375276,87,57.9,-5.16,46.0,3.0
373,goderich,21,CA,1588375276,80,43.75,-81.72,48.0,7.96
374,konstantinovka,55,RU,1588375276,52,49.62,127.98,47.93,22.79
375,giyani,0,ZA,1588375276,57,-23.3,30.72,66.13,3.83
376,topolobampo,20,MX,1588375276,31,25.6,-109.05,95.0,13.87
377,iranshahr,0,IR,1588375276,33,27.2,60.68,84.79,3.36
378,yulara,0,AU,1588375277,53,-25.24,130.99,51.8,10.29
379,grand gaube,71,MU,1588375277,74,-20.01,57.66,71.01,4.0
380,neiafu,40,TO,1588375277,69,-18.65,-173.98,82.4,12.75
381,toora-khem,53,RU,1588375277,57,52.47,96.11,35.71,3.29
382,jiangyou,59,CN,1588375277,42,31.77,104.72,67.35,3.76
383,rio gallegos,93,AR,1588375277,81,-51.62,-69.22,50.0,13.87
384,charcas,1,MX,1588375277,14,23.13,-101.12,77.74,7.83
385,kijang,100,KR,1588375277,72,35.24,129.21,68.0,11.41
